المدينة,التصنيف,المنتج,قطاع_العميل,مبلغ_التمويل,قيمة_القسط,تاريخ_الصرف,جنس_العميل,عمر_العميل,ألحاله_الإجتماعية,إحتياجات_خاصة,عدد_أفراد_الأسره,زود_الإدخاري,القيمة
بنك التنمية الإجتماعية فرع الدمام,حر,قرض النقل التشاركي,قطاع حكومي,104907.75,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع خميس مشيط,حر,قرض النقل التشاركي,متقاعد,108553.25,>= 1000,2024-07,ذكر,>= 60,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع جدة,حر,قرض النقل التشاركي,قطاع حكومي,107825,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,121755,>= 1000,2024-07,انثى,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,شركة حكومية,108282.75,>= 1000,2024-07,ذكر,>= 30,أعزب,سليم,غير معروف,1,0
بنك التنمية الإجتماعية فرع خميس مشيط,حر,قرض النقل التشاركي,قطاع حكومي,108282.75,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع خميس مشيط,حر,قرض النقل التشاركي,قطاع حكومي,106032.75,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,106032.75,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,173050,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع بريدة,حر,قرض النقل التشاركي,قطاع حكومي,173050,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,108282.75,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع الرياض,حر,قرض النقل التشاركي,قطاع حكومي,141890,>= 1000,2024-07,ذكر,< 30,أعزب,سليم,غير معروف,1,0
بنك التنمية الإجتماعية فرع القنفذة,حر,قرض النقل التشاركي,قطاع حكومي,111928.25,>= 1000,2024-07,ذكر,>= 30,أعزب,سليم,غير معروف,0,0
بنك التنمية الإجتماعية فرع بريدة,حر,قرض النقل التشاركي,قطاع حكومي,111928.25,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,1,0
بنك التنمية الإجتماعية فرع الطائف,حر,قرض النقل التشاركي,قطاع حكومي,116282.75,>= 1000,2024-07,ذكر,>= 40,متزوج,سليم,غير معروف,0,0
